image_path,target_class,property_value,specimen_id,split_group,magnification,stain,batch_id,acquisition_date
specimen_00_00.png,grain,0.2705,specimen_00,specimen_00,200,none,batch_0,2026-03-09
specimen_00_01.png,grain,0.2276,specimen_00,specimen_00,200,none,batch_0,2026-03-09
specimen_00_02.png,grain,0.2366,specimen_00,specimen_00,200,none,batch_0,2026-03-09
specimen_00_03.png,grain,0.262,specimen_00,specimen_00,200,none,batch_0,2026-03-09
specimen_00_04.png,grain,0.2654,specimen_00,specimen_00,200,none,batch_0,2026-03-09
specimen_00_05.png,grain,0.2428,specimen_00,specimen_00,200,none,batch_0,2026-03-09
specimen_01_00.png,pore,0.6269,specimen_01,specimen_01,200,none,batch_1,2026-03-09
specimen_01_01.png,pore,0.5889,specimen_01,specimen_01,200,none,batch_1,2026-03-09
specimen_01_02.png,pore,0.6322,specimen_01,specimen_01,200,none,batch_1,2026-03-09
specimen_01_03.png,pore,0.58,specimen_01,specimen_01,200,none,batch_1,2026-03-09
specimen_01_04.png,pore,0.5948,specimen_01,specimen_01,200,none,batch_1,2026-03-09
specimen_01_05.png,pore,0.629,specimen_01,specimen_01,200,none,batch_1,2026-03-09
specimen_02_00.png,crack,0.8776,specimen_02,specimen_02,500,none,batch_2,2026-03-09
specimen_02_01.png,crack,0.8518,specimen_02,specimen_02,500,none,batch_2,2026-03-09
specimen_02_02.png,crack,0.8496,specimen_02,specimen_02,500,none,batch_2,2026-03-09
specimen_02_03.png,crack,0.848,specimen_02,specimen_02,500,none,batch_2,2026-03-09
specimen_02_04.png,crack,0.8443,specimen_02,specimen_02,500,none,batch_2,2026-03-09
specimen_02_05.png,crack,0.8729,specimen_02,specimen_02,500,none,batch_2,2026-03-09
specimen_03_00.png,grain,0.2373,specimen_03,specimen_03,1000,none,batch_0,2026-03-09
specimen_03_01.png,grain,0.2905,specimen_03,specimen_03,1000,none,batch_0,2026-03-09
specimen_03_02.png,grain,0.2655,specimen_03,specimen_03,1000,none,batch_0,2026-03-09
specimen_03_03.png,grain,0.2744,specimen_03,specimen_03,1000,none,batch_0,2026-03-09
specimen_03_04.png,grain,0.2025,specimen_03,specimen_03,1000,none,batch_0,2026-03-09
specimen_03_05.png,grain,0.1832,specimen_03,specimen_03,1000,none,batch_0,2026-03-09
specimen_04_00.png,pore,0.672,specimen_04,specimen_04,500,none,batch_1,2026-03-09
specimen_04_01.png,pore,0.6383,specimen_04,specimen_04,500,none,batch_1,2026-03-09
specimen_04_02.png,pore,0.5654,specimen_04,specimen_04,500,none,batch_1,2026-03-09
specimen_04_03.png,pore,0.599,specimen_04,specimen_04,500,none,batch_1,2026-03-09
specimen_04_04.png,pore,0.5309,specimen_04,specimen_04,500,none,batch_1,2026-03-09
specimen_04_05.png,pore,0.6157,specimen_04,specimen_04,500,none,batch_1,2026-03-09
specimen_05_00.png,crack,0.8942,specimen_05,specimen_05,500,none,batch_2,2026-03-09
specimen_05_01.png,crack,0.958,specimen_05,specimen_05,500,none,batch_2,2026-03-09
