experiment_tag,dataset_tag,window_start,window_end,tool_wear,wear_stage,force_z_mean,force_z_std,force_z_rms,force_z_peak,force_z_crest_factor,force_z_dominant_frequency_hz,force_z_spectral_centroid_hz,force_z_bandpower_low,force_z_bandpower_mid,force_z_bandpower_high,vibration_x_mean,vibration_x_std,vibration_x_rms,vibration_x_peak,vibration_x_crest_factor,vibration_x_dominant_frequency_hz,vibration_x_spectral_centroid_hz,vibration_x_bandpower_low,vibration_x_bandpower_mid,vibration_x_bandpower_high,vibration_y_mean,vibration_y_std,vibration_y_rms,vibration_y_peak,vibration_y_crest_factor,vibration_y_dominant_frequency_hz,vibration_y_spectral_centroid_hz,vibration_y_bandpower_low,vibration_y_bandpower_mid,vibration_y_bandpower_high
W1,nuaa,0.0033,31.1883,0.11908967151802738,low_wear,226.087609375,154.25136030413327,273.69524889661153,696.21,2.5437416352923012,0.21875,0.5144916933184447,761494.5140375625,0.0,0.0,1.51323125,4.186599877319713,4.451683653265357,10.066,2.261166961541951,0.1875,0.5580006428144885,565.08545871,0.0,0.0,1.8276828125,4.307784301578172,4.679468992528025,10.331,2.207729128346848,0.1875,0.5600660612193736,598.5073942025,0.0,0.0
W1,nuaa,15.8433,47.0283,0.12060785223893335,medium_wear,282.833796875,176.8898026575426,333.59400315196484,653.14,1.9578889123569458,0.9375,0.5302380798872983,1030618.6981939374,0.0,0.0,2.617890625,4.106512335597217,4.869989208086092,11.574000000000002,2.3765966423052074,0.1875,0.5048216269186449,554.2311265050001,0.0,0.0,2.9771328125,4.244954202530293,5.184877622938052,12.225,2.357818426787208,0.1875,0.5041210677094702,590.81555717625,0.0,0.0
W1,nuaa,31.6833,62.8683,0.1221123849456769,medium_wear,314.907803125,187.24749726898384,366.3721464610975,767.98,2.0961746339566414,0.3125,0.5000163009735298,1126324.8326777427,0.0,0.0,3.6960218750000005,4.080318883581158,5.505413689468531,12.035,2.1860300930740424,0.4375,0.46449501262094756,534.6011560475001,0.0,0.0,4.10730625,4.226551844954222,5.893530786326225,12.737,2.161183246815565,0.4375,0.4618813621872243,573.1948384187499,0.0,0.0
W1,nuaa,47.5233,78.70830000000001,0.12360044409512322,medium_wear,295.843490625,177.8691792392197,345.19677847340654,767.98,2.224760043811255,0.28125,0.48601962589299463,1013404.5337008302,0.0,0.0,2.5106843750000003,4.106173316187269,4.812919626737756,12.035,2.5005611839309774,0.03125,0.43384048854330565,541.8695796821876,0.0,0.0,2.8915468750000004,4.254711354449058,5.144279545281341,12.737,2.4759540938406395,0.03125,0.4348028846095631,582.520774835,0.0,0.0
W1,nuaa,63.3633,94.54829999999998,0.12506984476912392,medium_wear,252.77943750000003,171.32223540466396,305.36658685400977,624.43,2.0448537164235607,0.125,0.4832511911581788,946906.5417286664,0.0,0.0,1.289234375,4.135693222885174,4.331983807391251,11.816,2.7276186905037565,0.4375,0.5172769036068855,558.3730799271876,0.0,0.0,1.6100578125,4.260169875640403,4.5542654214380445,12.485,2.7413861171178215,0.4375,0.5175739478966083,593.395268009375,0.0,0.0
W1,nuaa,79.2033,109.9065,0.12651090522141162,medium_wear,200.63098437500003,219.18046265500976,297.1411568614244,710.56,2.391321375690069,0.125,0.45982612789009536,1583535.4476797597,0.0,0.0,1.7866749999999998,4.30707346230448,4.662948569876415,11.816,2.534018941648582,0.28125,0.5109908787160393,597.05478722125,0.0,0.0,2.1092703125,4.428491714055972,4.905156481974479,12.485,2.545280674710381,0.28125,0.5109433048023677,631.0499197874999,0.0,0.0
W1,nuaa,95.0433,125.7465,0.12792081923223214,medium_wear,87.13821875000001,228.56985314597134,244.6165303778421,710.56,2.90479142559355,0.03125,0.4446159245795102,1671929.9164305935,0.0,0.0,2.148959375,3.732010966109573,4.306498838565093,8.5682,1.9895976572130891,0.3125,0.45864111327927964,446.00192453843755,0.0,0.0,2.4737296875,3.8373036187813447,4.5655489954145985,9.0379,1.9795866847726746,0.3125,0.4581046990839264,471.5302184100001,0.0,0.0
W1,nuaa,110.4015,141.5865,0.12932485027438811,medium_wear,7.177484375000002,173.0780698749115,173.2268297740801,401.93,2.3202525874553683,0.15625,0.47263506323737414,958824.4278114376,0.0,0.0,1.6769296875,3.7420090729980737,4.100576188686018,9.8353,2.3985165858243955,0.4375,0.5148593318051284,448.10329436312503,0.0,0.0,1.937309375,3.851022808120215,4.310863519426821,10.335,2.397431501467288,0.4375,0.5148512511824763,474.645675835,0.0,0.0
W1,nuaa,126.2415,157.4265,0.1307332974282761,medium_wear,3.140046874999994,178.21959741429512,178.24725747368635,401.93,2.2549014537255068,0.0625,0.4808049985509561,1051653.3491239378,0.0,0.0,1.5193921874999998,3.573090355101619,3.8827216363211323,9.8353,2.533094288293847,0.40625,0.5423664130196663,408.87392855437497,0.0,0.0,1.7510953125000002,3.692530922451331,4.086700307915758,10.335,2.5289351362470995,0.40625,0.542794346726291,436.56034395437496,0.0,0.0
W1,nuaa,142.0815,173.2665,0.1321439377290704,medium_wear,25.121125,189.0127369008915,190.67481645993854,445.0,2.333816328038769,0.78125,0.5252474859504713,1189751.0003247815,0.0,0.0,1.23091875,3.9627499596584994,4.149523853633691,9.5989,2.3132533607667667,0.625,0.4740609206779667,503.97501959656245,0.0,0.0,1.454825,4.1260363549279955,4.375007632314771,10.133,2.316110245192586,0.625,0.47499491636024355,546.7861516012501,0.0,0.0
W1,nuaa,157.9215,189.1065,0.13357567693075417,medium_wear,58.316578125,191.32951877208177,200.01951914192182,445.0,2.224782870737004,0.25,0.5527032628352182,1209602.2666110003,0.0,0.0,1.3964124999999998,4.2299049112945495,4.454443110956745,9.0527,2.032285467454454,0.09375,0.45685701042637666,576.14858328625,0.0,0.0,1.5894468750000001,4.396807601188075,4.675281643956063,9.586,2.0503577602415106,0.09375,0.459663434800135,623.2039219996875,0.0,0.0
W1,nuaa,173.7615,204.9465,0.13506422766606643,medium_wear,9.868625,184.17830302712946,184.44250341324192,430.64,2.3348197515794644,0.21875,0.4952079937605548,1087353.5035517814,0.0,0.0,1.9228640625000002,3.725779848667893,4.1927129264467595,8.4879,2.0244410120378373,0.125,0.4663015961336713,446.94446668250004,0.0,0.0,2.1531359375,3.8405375401907933,4.402922093674694,8.9139,2.024541840702984,0.125,0.46749918047842415,474.9032934025001,0.0,0.0
W1,nuaa,189.6015,220.3938,0.1366586689795804,medium_wear,-14.130265624999996,193.9516455234592,194.46569159594867,430.64,2.214478021628426,0.5625,0.5339238105484764,1216218.8383199999,0.0,0.0,2.2644406249999998,3.689074612865279,4.328621355979003,10.732,2.4793113366629287,1.0,0.5291037597732161,463.3347983384375,0.0,0.0,2.5362921875,3.8006554440609603,4.569218736813084,11.282,2.469131081229198,1.0,0.5284666092498151,492.03697726562507,0.0,0.0
W1,nuaa,205.4415,236.2338,0.1382258856765765,medium_wear,57.64391875,199.9356313081904,208.07949931567322,509.6,2.4490639475583134,0.03125,0.48623285887990636,1279820.24681991,0.0,0.0,2.0814140625000004,3.8660059270626443,4.39070453659276,10.732,2.4442546544769694,0.78125,0.514872062665576,485.1381184225,0.0,0.0,2.3676984375000005,3.980633285769842,4.631569630991069,11.282,2.4358912634086565,0.78125,0.5169863675912472,514.311649519375,0.0,0.0
W1,nuaa,220.8888,252.0738,0.13960614559652948,medium_wear,146.688078125,197.72826805815038,246.1988226074241,538.3,2.1864442498100214,0.375,0.46785097907882683,1251499.0438295498,0.0,0.0,2.4153296875,5.272752723900477,5.799632642393719,18.923,3.26279286409937,0.46875,0.5337087376350274,917.67063199125,0.0,0.0,2.676975,5.390912231217227,6.018980797054639,18.98,3.153357792616281,0.46875,0.5352417796117321,960.7372540428125,0.0,0.0
