image_path,target_class,property_value,specimen_id,magnification,batch_id,source
synthetic_grain_000.png,grain,0.2066,synthetic_grain_0,1000,syn_batch_0,synthetic
synthetic_grain_001.png,grain,0.1976,synthetic_grain_0,500,syn_batch_0,synthetic
synthetic_grain_002.png,grain,0.1703,synthetic_grain_0,500,syn_batch_0,synthetic
synthetic_grain_003.png,grain,0.159,synthetic_grain_1,200,syn_batch_0,synthetic
synthetic_grain_004.png,grain,0.2362,synthetic_grain_1,1000,syn_batch_0,synthetic
synthetic_grain_005.png,grain,0.1666,synthetic_grain_1,500,syn_batch_0,synthetic
synthetic_grain_006.png,grain,0.2546,synthetic_grain_2,500,syn_batch_0,synthetic
synthetic_grain_007.png,grain,0.2399,synthetic_grain_2,500,syn_batch_0,synthetic
synthetic_grain_008.png,grain,0.2398,synthetic_grain_2,1000,syn_batch_0,synthetic
synthetic_grain_009.png,grain,0.1523,synthetic_grain_3,500,syn_batch_0,synthetic
synthetic_grain_010.png,grain,0.1832,synthetic_grain_3,1000,syn_batch_0,synthetic
synthetic_grain_011.png,grain,0.1774,synthetic_grain_3,500,syn_batch_0,synthetic
synthetic_grain_012.png,grain,0.2155,synthetic_grain_4,500,syn_batch_0,synthetic
synthetic_grain_013.png,grain,0.1619,synthetic_grain_4,500,syn_batch_0,synthetic
synthetic_grain_014.png,grain,0.1926,synthetic_grain_4,1000,syn_batch_0,synthetic
synthetic_grain_015.png,grain,0.1326,synthetic_grain_5,200,syn_batch_0,synthetic
synthetic_grain_016.png,grain,0.1939,synthetic_grain_5,1000,syn_batch_0,synthetic
synthetic_grain_017.png,grain,0.1886,synthetic_grain_5,500,syn_batch_0,synthetic
synthetic_grain_018.png,grain,0.2284,synthetic_grain_6,1000,syn_batch_0,synthetic
synthetic_grain_019.png,grain,0.193,synthetic_grain_6,500,syn_batch_0,synthetic
synthetic_grain_020.png,grain,0.2331,synthetic_grain_6,200,syn_batch_0,synthetic
synthetic_grain_021.png,grain,0.2123,synthetic_grain_7,1000,syn_batch_0,synthetic
synthetic_grain_022.png,grain,0.1941,synthetic_grain_7,1000,syn_batch_0,synthetic
synthetic_grain_023.png,grain,0.1892,synthetic_grain_7,1000,syn_batch_0,synthetic
